City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Viransehir,37.2353,39.7631,82.33,16,0,4.88,TR,clear sky
79,Tessalit,20.1986,1.0114,91.94,9,0,8.32,ML,clear sky
80,Hermanus,-34.4187,19.2345,48.79,53,0,8.39,ZA,clear sky
81,Broome,42.2506,-75.833,73.78,64,0,13.8,US,clear sky
82,Khuzhir,53.1939,107.3397,52.65,99,100,4.25,RU,light rain
83,Srandakan,-7.9386,110.2506,75.2,76,85,4.0,ID,overcast clouds
84,Marzuq,14.4,46.4667,79.48,59,100,4.99,YE,overcast clouds
85,Pak Phanang,8.3511,100.202,80.62,78,64,1.59,TH,broken clouds
86,Goiatuba,-18.0125,-49.3547,67.1,46,0,6.85,BR,clear sky
87,Moose Factory,51.2585,-80.6094,60.8,72,100,9.22,CA,overcast clouds
88,Portel,-1.9356,-50.8211,75.47,84,100,3.51,BR,overcast clouds
89,Wewak,-3.5534,143.6268,83.34,74,56,5.93,PG,broken clouds
90,Norman Wells,65.282,-126.8329,78.84,29,40,12.66,CA,scattered clouds
91,Cootamundra,-34.65,148.0333,46.71,85,94,17.72,AU,overcast clouds
92,Aksu,41.1231,80.2644,83.05,23,0,2.84,CN,clear sky
93,Hobart,-42.8794,147.3294,57.25,91,75,3.44,AU,broken clouds
94,Erzin,36.9559,36.2,73.92,48,0,1.83,TR,clear sky
95,Fort Nelson,58.8053,-122.7002,78.39,38,75,8.05,CA,broken clouds
96,Coahuayana,18.7333,-103.6833,81.7,82,99,1.95,MX,overcast clouds
97,Zambezi,-13.5432,23.1047,52.29,54,0,5.21,ZM,clear sky
98,Along,28.1667,94.7667,74.95,98,96,0.67,IN,overcast clouds
99,Seaforth,17.9358,-76.4573,83.25,88,60,5.66,JM,broken clouds
100,East London,-33.0153,27.9116,55.26,71,0,12.24,ZA,clear sky
101,Spas-Demensk,54.4122,34.0226,55.2,98,24,4.56,RU,few clouds
102,Port Elizabeth,-33.918,25.5701,55.69,82,0,13.8,ZA,clear sky
103,Santona,43.4439,-3.4576,67.59,84,80,2.62,ES,broken clouds
104,Bengkulu,-3.8004,102.2655,74.8,81,100,2.08,ID,overcast clouds
